datetime,active_power_MW,reactive_power_MVar,voltage_kV,temperature_C,humidity_pct,solar_irradiance_Wm2,wind_speed_ms
2025-06-01 00:00:00,50.46,22.48,106.44,11.5,60.7,0.0,6.91
2025-06-01 00:15:00,50.21,22.46,109.9,11.6,44.8,0.0,5.17
2025-06-01 00:30:00,50.37,22.65,110.82,14.7,54.7,0.0,4.75
2025-06-01 00:45:00,48.6,21.86,110.18,10.9,63.1,0.0,4.95
2025-06-01 01:00:00,48.89,21.94,111.99,11.3,48.8,0.0,4.73
2025-06-01 01:15:00,49.83,22.37,113.8,15.7,52.3,0.0,4.39
2025-06-01 01:30:00,47.61,21.23,109.33,14.0,58.9,0.0,6.54
2025-06-01 01:45:00,50.55,22.63,112.0,15.5,39.8,0.0,4.39
2025-06-01 02:00:00,46.62,20.9,110.15,10.6,60.1,0.0,4.0
2025-06-01 02:15:00,45.97,20.19,111.04,13.4,71.6,0.0,4.0
2025-06-01 02:30:00,45.98,20.8,109.37,12.3,48.9,0.0,4.0
2025-06-01 02:45:00,48.76,21.94,111.09,16.4,69.2,0.0,4.57
2025-06-01 03:00:00,44.3,20.07,110.95,10.7,58.7,0.0,4.01
2025-06-01 03:15:00,44.47,19.89,107.48,10.0,52.6,0.0,3.61
2025-06-01 03:30:00,46.34,20.64,107.22,15.8,58.5,0.0,4.11
2025-06-01 03:45:00,45.6,20.7,109.07,11.4,56.3,0.0,3.96
2025-06-01 04:00:00,48.78,22.49,111.57,17.8,77.5,0.0,5.18
2025-06-01 04:15:00,44.82,20.13,110.23,12.4,65.4,0.0,3.9
2025-06-01 04:30:00,45.4,20.59,106.97,13.9,65.8,0.0,3.25
2025-06-01 04:45:00,44.92,20.03,108.05,13.2,73.6,0.0,3.25
2025-06-01 05:00:00,43.76,19.65,109.87,10.9,79.5,4.2,2.94
2025-06-01 05:15:00,46.66,20.87,111.52,14.6,66.9,19.4,3.15
2025-06-01 05:30:00,46.94,21.24,108.93,14.6,50.4,37.5,4.01
2025-06-01 05:45:00,44.7,20.19,112.49,13.0,55.6,57.4,2.94
2025-06-01 06:00:00,46.3,20.7,109.09,9.0,49.8,78.6,3.25
2025-06-01 06:15:00,47.28,21.41,108.31,12.0,61.5,100.9,2.89
2025-06-01 06:30:00,46.49,20.94,107.88,9.6,74.9,123.9,4.18
2025-06-01 06:45:00,43.59,19.6,109.49,7.8,64.0,147.4,2.7
2025-06-01 07:00:00,48.36,22.13,108.88,6.9,56.3,171.3,2.55
2025-06-01 07:15:00,47.43,21.12,111.63,6.3,64.9,195.3,2.55
2025-06-01 07:30:00,46.73,21.08,110.27,7.8,67.9,219.2,3.53
2025-06-01 07:45:00,52.01,23.23,110.02,9.4,73.8,243.0,2.55
2025-06-01 08:00:00,52.63,23.93,112.18,7.5,67.2,266.3,2.52
2025-06-01 08:15:00,52.59,23.72,109.91,6.4,63.9,289.1,2.56
2025-06-01 08:30:00,58.02,26.8,109.33,10.9,66.6,311.3,2.5
2025-06-01 08:45:00,54.36,24.32,107.74,6.0,55.0,332.6,2.5
2025-06-01 09:00:00,61.4,27.78,111.86,9.6,59.4,352.9,3.9
2025-06-01 09:15:00,60.86,27.17,111.99,8.1,55.4,372.1,2.76
2025-06-01 09:30:00,58.68,26.32,110.97,8.4,74.1,390.1,3.08
2025-06-01 09:45:00,60.66,26.74,108.12,7.0,72.4,406.7,2.55
2025-06-01 10:00:00,57.54,25.83,109.06,2.5,53.4,421.9,3.22
2025-06-01 10:15:00,60.83,27.7,110.37,6.6,54.1,435.5,2.83
2025-06-01 10:30:00,57.9,26.22,111.52,2.3,59.7,447.5,2.7
2025-06-01 10:45:00,58.48,26.95,109.18,4.1,50.7,457.8,2.7
2025-06-01 11:00:00,56.83,26.03,110.2,1.7,65.5,466.3,2.94
2025-06-01 11:15:00,58.51,26.43,108.34,2.3,53.2,472.9,2.94
2025-06-01 11:30:00,65.57,29.74,110.01,7.8,45.1,477.7,2.94
2025-06-01 11:45:00,60.54,27.0,109.97,4.6,64.0,480.6,2.94
2025-06-01 12:00:00,56.66,25.61,110.38,3.1,50.7,481.6,3.49
2025-06-01 12:15:00,56.15,24.84,109.25,0.8,44.8,480.6,3.54
2025-06-01 12:30:00,56.27,25.65,110.04,2.4,56.5,477.7,3.66
2025-06-01 12:45:00,60.22,27.07,112.11,3.7,46.0,472.9,3.25
2025-06-01 13:00:00,49.75,22.4,110.37,-2.1,50.5,466.3,3.61
